generation,best_in_population,mean_fitness,global_best_fitness
5300,963.622667,-542.711917,963.622667
5301,963.622667,-480.410723,963.622667
5302,963.622667,-353.295038,963.622667
5303,963.622667,-361.041526,963.622667
5304,963.622667,-265.253914,963.622667
5305,963.622667,-223.052585,963.622667
5306,963.622667,-478.630940,963.622667
5307,963.622667,-389.971033,963.622667
5308,963.622667,-419.197719,963.622667
5309,963.622667,-486.580660,963.622667
5310,963.622667,-444.636593,963.622667
5311,963.622667,-499.204059,963.622667
5312,963.622667,-538.605450,963.622667
5313,963.622667,-429.996019,963.622667
5314,963.622667,-384.652307,963.622667
5315,963.622667,-422.667070,963.622667
5316,963.622667,-213.361633,963.622667
5317,963.622667,-330.437111,963.622667
5318,963.622667,-493.808432,963.622667
5319,963.622667,-472.934121,963.622667
5320,963.622667,-547.851268,963.622667
5321,963.622667,-290.935814,963.622667
5322,963.622667,-290.319565,963.622667
5323,963.622667,-454.349540,963.622667
5324,963.622667,-251.501959,963.622667
5325,963.622667,-353.438710,963.622667
5326,963.622667,-239.330526,963.622667
5327,963.622667,-138.884826,963.622667
5328,963.622667,-391.332667,963.622667
5329,963.622667,-466.552851,963.622667
5330,963.622667,-650.220602,963.622667
5331,963.622667,-619.970510,963.622667
5332,963.622667,-655.823809,963.622667
5333,963.622667,-544.476514,963.622667
5334,963.622667,-483.035617,963.622667
5335,963.622667,-259.441021,963.622667
5336,963.622667,-345.081734,963.622667
5337,963.622667,-456.243245,963.622667
5338,963.622667,-445.263280,963.622667
5339,963.622667,-186.570436,963.622667
5340,963.622667,-246.583421,963.622667
5341,963.622667,-233.706393,963.622667
5342,963.622667,-261.072120,963.622667
5343,963.622667,-267.385814,963.622667
5344,963.622667,-328.854636,963.622667
5345,963.622667,-281.211629,963.622667
5346,963.622667,-61.211924,963.622667
5347,963.622667,-399.977503,963.622667
